Word	Mystery	Romance	Short	Sci	Family	Horror	Thriller	Sport	Crime	Drama	Fantasy	Western	Animation	Music	Adventure	Action	Comedy	Documentary	Musical	Biography	History
british	0.013424087729249388	0.027651730005672153	0.0015598411798071466	0.012195121951219511	0.0008035545471733786	0.02254679523539421	0.009217243335224048	0.0010398941198714315	0.030629608621667616	0.027462658347513713	0.024957458876914345	0.0012289657780298734	0.013424087729249388	0.010446209113253923	0.02925883910001891	2.4186311972159626	0.05412176214785403	0.0002836074872376631	0.0012289657780298734	0.009169975420684439	0.006239364719228586
broadcast	0.05369635091699755	0.11060692002268861	0.006239364719228586	7.826558265582656	0.0032142181886935144	0.09018718094157684	0.03686897334089619	0.004159576479485726	0.12251843448667046	0.10985063339005485	0.09982983550765738	0.004915863112119494	0.05369635091699755	0.04178483645301569	2.5812249094426174	0.14577424844015882	0.21648704859141613	0.0011344299489506524	0.004915863112119494	0.036679901682737756	0.024957458876914345
broke	0.05369635091699755	2.7955072049229734	0.006239364719228586	0.048780487804878044	0.0032142181886935144	0.09018718094157684	0.03686897334089619	0.004159576479485726	0.12251843448667046	2.8224151772798995	0.09982983550765738	0.004915863112119494	0.05369635091699755	0.04178483645301569	0.11703535640007565	0.14577424844015882	0.21648704859141613	0.0011344299489506524	0.004915863112119494	0.036679901682737756	0.024957458876914345
broken	0.05369635091699755	2.7955072049229734	0.006239364719228586	0.048780487804878044	0.0032142181886935144	0.09018718094157684	0.03686897334089619	0.004159576479485726	0.12251843448667046	0.10985063339005485	0.09982983550765738	0.004915863112119494	0.05369635091699755	0.04178483645301569	0.11703535640007565	0.14577424844015882	0.9361377036132504	0.0011344299489506524	0.004915863112119494	0.036679901682737756	0.024957458876914345
bronze	0.05369635091699755	0.11060692002268861	0.006239364719228586	0.048780487804878044	0.0032142181886935144	0.09018718094157684	0.03686897334089619	0.004159576479485726	0.12251843448667046	0.10985063339005485	0.09982983550765738	0.004915863112119494	0.05369635091699755	0.04178483645301569	0.11703535640007565	9.67452478886385	0.21648704859141613	0.0011344299489506524	0.004915863112119494	0.036679901682737756	0.024957458876914345
brooke	0.05369635091699755	0.11060692002268861	0.006239364719228586	0.048780487804878044	0.0032142181886935144	0.09018718094157684	0.03686897334089619	0.004159576479485726	0.12251843448667046	2.8224151772798995	0.09982983550765738	0.004915863112119494	0.05369635091699755	0.04178483645301569	0.11703535640007565	0.14577424844015882	0.9361377036132504	0.0011344299489506524	0.004915863112119494	0.036679901682737756	0.024957458876914345
brothel	0.013424087729249388	0.027651730005672153	0.0015598411798071466	0.012195121951219511	0.0008035545471733786	0.02254679523539421	0.009217243335224048	0.0010398941198714315	0.030629608621667616	0.027462658347513713	0.024957458876914345	0.0012289657780298734	0.013424087729249388	0.010446209113253923	0.02925883910001891	2.4186311972159626	0.05412176214785403	0.0002836074872376631	0.0012289657780298734	0.009169975420684439	0.006239364719228586
brother	0.05369635091699755	13.516874726290496	0.006239364719228586	0.048780487804878044	0.0032142181886935144	0.09018718094157684	0.03686897334089619	0.004159576479485726	0.12251843448667046	0.10985063339005485	0.09982983550765738	0.004915863112119494	0.05369635091699755	0.04178483645301569	0.11703535640007565	0.14577424844015882	0.21648704859141613	0.0011344299489506524	0.004915863112119494	0.036679901682737756	0.024957458876914345
brothers	0.05369635091699755	0.11060692002268861	0.006239364719228586	0.048780487804878044	0.0032142181886935144	0.09018718094157684	0.03686897334089619	0.004159576479485726	11.966139833663627	0.10985063339005485	0.09982983550765738	0.004915863112119494	0.05369635091699755	0.04178483645301569	0.11703535640007565	0.14577424844015882	0.21648704859141613	0.0011344299489506524	0.004915863112119494	0.036679901682737756	0.024957458876914345
brought	0.013424087729249388	0.027651730005672153	0.0015598411798071466	0.012195121951219511	0.0008035545471733786	0.02254679523539421	0.009217243335224048	0.0010398941198714315	2.9915349584159068	0.027462658347513713	0.024957458876914345	0.0012289657780298734	0.013424087729249388	0.010446209113253923	0.02925883910001891	0.036443562110039705	0.05412176214785403	0.0002836074872376631	0.0012289657780298734	0.009169975420684439	0.006239364719228586
brutal	0.05369635091699755	0.11060692002268861	0.006239364719228586	7.826558265582656	0.0032142181886935144	0.09018718094157684	0.03686897334089619	0.004159576479485726	0.12251843448667046	0.10985063339005485	0.09982983550765738	0.004915863112119494	0.05369635091699755	0.04178483645301569	2.5812249094426174	0.14577424844015882	0.21648704859141613	0.0011344299489506524	0.004915863112119494	0.036679901682737756	0.024957458876914345
budget	0.12081678956324447	0.24886557005104934	0.014038570618264322	0.10975609756097561	0.007231990924560408	0.20292115711854797	0.08295519001701646	0.00935904707884288	0.2756664775950085	0.24716392512762336	2.6766373319124317	0.01106069200226886	0.12081678956324447	8.730516636167097	0.26332955190017016	0.3279920589903573	0.5400798476858537	0.0025524673851389677	0.01106069200226886	0.08252977878615995	0.05615428247305729
build	6.997358322747983	0.11060692002268861	0.006239364719228586	0.048780487804878044	0.0032142181886935144	0.09018718094157684	0.03686897334089619	0.004159576479485726	0.12251843448667046	0.10985063339005485	0.09982983550765738	0.004915863112119494	0.05369635091699755	0.04178483645301569	0.11703535640007565	1.8612952168794155	0.21648704859141613	0.0011344299489506524	0.004915863112119494	0.036679901682737756	0.024957458876914345
building	0.013424087729249388	0.027651730005672153	70.56721640683637	0.012195121951219511	0.0008035545471733786	0.02254679523539421	0.009217243335224048	0.0010398941198714315	0.030629608621667616	0.027462658347513713	0.024957458876914345	0.0012289657780298734	0.013424087729249388	0.010446209113253923	0.02925883910001891	0.036443562110039705	0.05412176214785403	0.0002836074872376631	0.0012289657780298734	0.009169975420684439	0.006239364719228586
burns	0.05369635091699755	0.11060692002268861	0.006239364719228586	0.048780487804878044	0.0032142181886935144	0.09018718094157684	0.03686897334089619	0.004159576479485726	2.4167571176142424	0.10985063339005485	0.09982983550765738	0.004915863112119494	0.05369635091699755	0.04178483645301569	0.11703535640007565	1.8612952168794155	0.21648704859141613	0.0011344299489506524	0.004915863112119494	0.036679901682737756	0.024957458876914345
bury	6.997358322747983	0.11060692002268861	0.006239364719228586	0.048780487804878044	0.0032142181886935144	0.09018718094157684	0.03686897334089619	0.004159576479485726	0.12251843448667046	0.10985063339005485	0.09982983550765738	0.004915863112119494	0.05369635091699755	0.04178483645301569	0.11703535640007565	1.8612952168794155	0.21648704859141613	0.0011344299489506524	0.004915863112119494	0.036679901682737756	0.024957458876914345
