Word	Mystery	Romance	Short	Sci	Family	Horror	Thriller	Sport	Crime	Drama	Fantasy	Western	Animation	Music	Adventure	Action	Comedy	Documentary	Musical	Biography	History
abandoned	0.12081678956324447	0.24886557005104934	0.014038570618264322	0.10975609756097561	0.007231990924560408	0.20292115711854794	0.08295519001701646	0.00935904707884288	0.2756664775950085	0.24716392512762336	0.22461712989222915	0.01106069200226886	0.12081678956324447	0.0940158820192853	0.26332955190017016	0.3279920589903573	0.48709585933068633	0.0025524673851389677	0.01106069200226886	0.08252977878615995	0.05615428247305729
abduct	0.04027226318774816	0.08295519001701646	0.00467952353942144	0.036585365853658534	0.002410663641520136	0.06764038570618264	0.02765173000567215	0.003119682359614294	0.09188882586500284	0.08238797504254113	0.07487237663074305	0.00368689733408962	0.04027226318774816	0.03133862733976177	0.08777651730005673	0.10933068633011911	0.1623652864435621	0.0008508224617129892	0.00368689733408962	0.027509926262053317	0.01871809415768576
abducted	0.12081678956324447	0.24886557005104934	0.014038570618264322	0.10975609756097561	0.007231990924560408	0.20292115711854794	0.08295519001701646	0.00935904707884288	0.2756664775950085	0.24716392512762336	0.22461712989222915	0.01106069200226886	0.12081678956324447	0.0940158820192853	0.26332955190017016	0.3279920589903573	0.48709585933068633	0.0025524673851389677	0.01106069200226886	0.08252977878615995	0.05615428247305729
abilities	0.12081678956324447	0.24886557005104934	0.014038570618264322	0.10975609756097561	0.007231990924560408	0.20292115711854794	0.08295519001701646	0.00935904707884288	0.2756664775950085	0.24716392512762336	0.22461712989222915	0.01106069200226886	0.12081678956324447	0.0940158820192853	0.26332955190017016	0.3279920589903573	0.48709585933068633	0.0025524673851389677	0.01106069200226886	0.08252977878615995	0.05615428247305729
ability	0.04027226318774816	0.08295519001701646	0.00467952353942144	0.036585365853658534	0.002410663641520136	0.06764038570618264	0.02765173000567215	0.003119682359614294	0.09188882586500284	0.08238797504254113	0.07487237663074305	0.00368689733408962	0.04027226318774816	0.03133862733976177	0.08777651730005673	0.10933068633011911	0.1623652864435621	0.0008508224617129892	0.00368689733408962	0.027509926262053317	0.01871809415768576
abraham	0.08054452637549632	0.1659103800340329	0.00935904707884288	0.07317073170731707	0.004821327283040272	0.13528077141236527	0.0553034600113443	0.006239364719228588	0.18377765173000568	0.16477595008508225	0.1497447532614861	0.00737379466817924	0.08054452637549632	0.06267725467952354	0.17555303460011346	0.21866137266023822	0.3247305728871242	0.0017016449234259785	0.00737379466817924	0.055019852524106634	0.03743618831537152
absolute	0.08054452637549632	0.1659103800340329	0.00935904707884288	0.07317073170731707	0.004821327283040272	0.13528077141236527	0.0553034600113443	0.006239364719228588	0.18377765173000568	0.16477595008508225	0.1497447532614861	0.00737379466817924	0.08054452637549632	0.06267725467952354	0.17555303460011346	0.21866137266023822	0.3247305728871242	0.0017016449234259785	0.00737379466817924	0.055019852524106634	0.03743618831537152
absurd	0.12081678956324447	0.24886557005104934	0.014038570618264322	0.10975609756097561	0.007231990924560408	0.20292115711854794	0.08295519001701646	0.00935904707884288	0.2756664775950085	0.24716392512762336	0.22461712989222915	0.01106069200226886	0.12081678956324447	0.0940158820192853	0.26332955190017016	0.3279920589903573	0.48709585933068633	0.0025524673851389677	0.01106069200226886	0.08252977878615995	0.05615428247305729
accident	0.08054452637549632	0.1659103800340329	0.00935904707884288	0.07317073170731707	0.004821327283040272	0.13528077141236527	0.0553034600113443	0.006239364719228588	0.18377765173000568	0.16477595008508225	0.1497447532614861	0.00737379466817924	0.08054452637549632	0.06267725467952354	0.17555303460011346	0.21866137266023822	0.3247305728871242	0.0017016449234259785	0.00737379466817924	0.055019852524106634	0.03743618831537152
accidentally	0.24163357912648895	0.4977311401020987	0.028077141236528644	0.21951219512195122	0.014463981849120816	0.4058423142370959	0.1659103800340329	0.01871809415768576	0.551332955190017	0.4943278502552467	0.4492342597844583	0.02212138400453772	0.24163357912648895	0.1880317640385706	0.5266591038003403	0.6559841179807147	0.9741917186613727	0.005104934770277935	0.02212138400453772	0.1650595575723199	0.11230856494611458
